"DPD - Print return label","DPD - Print retour label"
"DPD - Print shipping list","DPD - Print verzendlijst"
"Are you sure you want to create return labels and download labels for the selected orders?","Weet u zeker dat u retour labels wilt aanmaken en labels downloaden voor de geselecteerde bestellingen?"
"DPD - Create shipment(s)","DPD - Verzending(en) aanmaken"
"Are you sure you want to create shipments and download labels for the selected orders?","Weet u zeker dat u verzendingen wilt aanmaken en labels downloaden voor de geselecteerde bestellingen?"
"Are you sure you want to print the shipping list of all selected orders?","Weet u zeker dat u een verzendlijst wilt genereren voor de geselecteerde bestellingen?"
"DPD - There are no shipping labels generated.","DPD - Er zijn geen labels aangemaakt."
"DPD - There are no return labels generated.","DPD - Er zijn geen retour labels aangemaakt."
"Environment","Omgeving"
"Please select an environment","Kies een omgeving"
"Account settings","Account instellingen"
"Username","Gebruikersnaam"
"Password","Wachtwoord"
"Print format","Afdruk afmetingen"
"[DPD-Login] Error occurred","[DPD-Login] Er is een onbekend probleem opgetreden"
"[DPD-Shipment] Error occurred","[DPD-Shipment] Er is een onbekend probleem opgetreden"
"[DPD] Your store address is empty. Please open the configuration and set an address", "[DPD] Uw winkel adresgegevens zijn niet ingevuld. Open de configuratie en vul deze gegevens aan."
"Include return label","Retour label direct opvragen"
"DPD Parcelservice", "DPD Pakketservice"
"Shipping address", "Verzendadres"
"Name", "Naam"
"Street", "Straat"
"Address", "Adres"
"Housenumber", "Huisnummer"
"Zipcode", "Postcode"
"City", "Plaats"
"Country", "Land"
"Rate type", "Tarieftype"
"Date", "Datum"
"Weight", "Gewicht"
"Shipment type", "Type verzending"
"Company and name", "Bedrijf en naam"
"Package Nr.", "Pakket Nr."
"Nr.", "Nr."
"Reference #1", "Referentie #1"
"Reference #2", "Referentie #2"
"Customer address", "Klant address"
"Signature", "Handtekening"
"No DPD shipments selected", "Geen DPD verzending geselecteerd."
"Invalid method", "Ongeldige methode"
"Click here to select your Parcelshop", "Klik hier om je afhaalpunt te selecteren"
"Click here to change your ParcelShop", "Klik hier om je afhaalpunt te veranderen"
"Ship to this Pickup point.", "Naar dit afhaalpunt versturen"
"Opening hours", "Openings tijden"
"Monday", "Maandag"
"Tuesday", "Dinsdag"
"Wednesday", "Woendag"
"Thursday", "Donderdag"
"Friday", "Vrijdag"
"Saturday", "Zaterdag"
"Sunday", "Zondag"
